powiat_name_pl,NAME_2,unemployed_thousand,unemployment_rate
bialski,BiałaPodlaska,3.7,9.8
biłgorajski,Biłgoraj,2.3,6.8
chełmski,Chełm,2.7,13.4
hrubieszowski,Hrubieszów,3,16.3
janowski,JanówLubelski,1.8,12.0
krasnostawski,Krasnystaw,2.8,14.0
kraśnicki,Kraśnik,3.4,11.6
lubartowski,Lubartów,3.5,12.3
lubelski,Lublin,2.9,6.3
łęczyński,Łęczna,1.3,5.9
łukowski,Łuków,1.7,4.2
opolski,OpoleLubelskie,2.1,10.5
parczewski,Parczew,1,8.9
puławski,Puławy,2.5,6.5
radzyński,RadzyńPodlaski,1.6,8.0
rycki,Ryki,1.3,7.5
świdnicki,Świdnik,1.9,7.9
tomaszowski,TomaszówLubelski,2.6,9.8
włodawski,Włodawa,2,17.8
zamojski,Zamość,3.4,11.4
m. Biała Podlaska,BiałaPodlaska(City),1.9,8.2
m. Chełm,Chełm(City),1.9,9.5
m. Lublin,Lublin(City),8,4.5
m. Zamość,Zamość(City),2.2,8.8
