month,source_pdf,foreign_arrivals,foreign_departures,foreign_total,polish_arrivals,polish_departures,polish_total,total_person_crossings
1,https://nadbuzanski.strazgraniczna.pl/download/12/305982/ruchdointernetu-styczen2025.pdf,271224,273042,544266,6892,5649,12541,556807
2,https://nadbuzanski.strazgraniczna.pl/download/12/309191/Luty2025.pdf,214169,207248,421417,6480,6068,12548,433965
3,https://nadbuzanski.strazgraniczna.pl/download/12/309852/marzec2025.pdf,249961,241324,491285,6661,6265,12926,504211
4,https://nadbuzanski.strazgraniczna.pl/download/12/312014/ruchdointernetu-kwiecien2025.pdf,256389,278437,534826,7889,8452,16341,551167
5,https://nadbuzanski.strazgraniczna.pl/download/12/314917/Maj2025.pdf,298960,258240,557200,8247,7121,15368,572568
6,https://nadbuzanski.strazgraniczna.pl/download/12/325470/ruchdointernetu-czerwiec2025.pdf,353824,311426,665250,7392,7751,15143,680393
7,https://nadbuzanski.strazgraniczna.pl/download/12/326883/ruchdointernetu-lipiec2025.pdf,405516,393105,798621,8592,8985,17577,816198
8,https://nadbuzanski.strazgraniczna.pl/download/12/328615/ruchdointernetu-sierpien2025.pdf,390877,432055,822932,10324,9338,19662,842594
9,https://nadbuzanski.strazgraniczna.pl/download/12/331715/ruchdointernetu-wrzesien2025.pdf,334049,283782,617831,6809,6238,13047,630878
10,https://nadbuzanski.strazgraniczna.pl/download/12/334105/ruchdointernetu-pazdziernik2025.pdf,300598,288140,588738,6763,6538,13301,602039
11,https://nadbuzanski.strazgraniczna.pl/download/12/337007/ruchdointernetu-listopad2025.pdf,252913,264789,517702,6606,6560,13166,530868
12,https://nadbuzanski.strazgraniczna.pl/download/12/338326/ruchdointernetu-grudzien2025.pdf,289449,291245,580694,6338,7508,13846,594540
